"full_name","country_of_citizenship","position","number_of_clubs"
"Ander Capa","Spain","Defender","14"
"Christian Groß","Germany","Midfield","11"
"Ethan Erhahon","Scotland","Midfield","10"
"David Turnbull","Scotland","Midfield","10"
"Callumn Morrison","Scotland","Midfield","9"
"Hugo Duro","Spain","Attack","9"
"Kevin-Prince Boateng","Ghana","Midfield","9"
"Harry Cochrane","Scotland","Midfield","9"
"Martín Aguirregabiria","Spain","Defender","9"
"Oli Shaw","Scotland","Attack","9"
"Brais Méndez","Spain","Midfield","9"
"Ross McCrorie","Scotland","Midfield","8"
"Mamadou Sylla","Senegal","Attack","8"
"Gil Dias","Portugal","Attack","8"
"Giannelli Imbula","DR Congo","Midfield","8"
"Oihan Sancet","Spain","Midfield","8"
"Islam Slimani","Algeria","Attack","8"
"Soualiho Meïté","France","Midfield","8"
"Eddie Nketiah","England","Attack","8"
"Mathew Ryan","Australia","Goalkeeper","8"
