"full_name","country_of_citizenship","intl_apps","intl_goals"
"Toni Kroos","Germany","95","5"
"Mohamed Salah","Egypt","91","46"
"Casemiro","Brazil","88","7"
"Antoine Griezmann","France","87","36"
"Bernardo Silva","Portugal","87","13"
"Ivan Rakitic","Croatia","87","11"
"Callum McGregor","Scotland","86","13"
"Karim Benzema","France","85","54"
"Robert Lewandowski","Poland","85","75"
"Fabinho","Brazil","85","5"
"Raheem Sterling","England","84","27"
"Luka Modric","Croatia","84","6"
"Marc-André ter Stegen","Germany","84","0"
"Thomas Müller","Germany","83","32"
"Taras Stepanenko","Ukraine","82","5"
"Koke","Spain","82","6"
"Leonardo Bonucci","Italy","81","2"
"Henrikh Mkhitaryan","Armenia","81","17"
"Cristiano Ronaldo","Portugal","80","73"
"Jan Oblak","Slovenia","80","0"
