"full_name","total_reds","total_games"
"Mario Balotelli","6","187"
"Domenico Berardi","5","276"
"Granit Xhaka","5","359"
"Birger Verstraete","5","190"
"Téji Savanier","5","133"
"Stefan Mitrović","5","247"
"Fahd Moufi","5","128"
"Younès Belhanda","5","240"
"Nabil Fekir","5","301"
"Hilton","5","225"
"Fallou Diagne","4","97"
"Thomas Lam","4","166"
"Roberto Soriano","4","313"
"Federico Fazio","4","235"
"Damien Da Silva","4","260"
"Alexander Djiku","4","222"
"Adil Auassar","4","246"
"Yannick Cahuzac","4","171"
"Nicolas Pallois","4","254"
"Stefan Savic","4","298"
