"name","type","country_name","total_games","avg_goals","avg_attendance"
"community-shield","other","England","11","4.545454545454546","66678.7"
"dfl-supercup","other","Germany","11","5.545454545454546","62796.6"
"supercopa","other","Spain","25","3.8","57401.63636363636"
"uefa-champions-league","international_cup","Unknown","1360","3.011029411764706","43770.68126520681"
"bundesliga","domestic_league","Germany","3312","2.9996980676328504","40512.874404356706"
"johan-cruijff-schaal","other","Netherlands","10","5.1","40433.7"
"supercoppa-italiana","other","Italy","11","4.909090909090909","39273.4"
"premier-league","domestic_league","England","4106","2.7386751095957136","37315.78771256171"
"ukrainian-super-cup","other","Ukraine","10","3.2","29396.555555555555"
"trophee-des-champions","other","France","11","3.6363636363636362","28421.777777777777"
"laliga","domestic_league","Spain","4040","2.658910891089109","27320.1869895804"
"fifa-klub-wm","other","Unknown","86","4.0","26971.92405063291"
"supertaca-candido-de-oliveira","other","Portugal","10","3.3","26358.0"
"uefa-super-cup","other","Unknown","11","6.7272727272727275","25076.454545454544"
"serie-a","domestic_league","Italy","4100","2.768780487804878","23381.96334351569"
"russian-super-cup","other","Russia","11","3.3636363636363638","22824.545454545456"
"europa-league","international_cup","Unknown","2290","2.7589519650655023","21549.278752436647"
"ligue-1","domestic_league","France","4008","2.617265469061876","21382.55815853991"
"dfb-pokal","domestic_cup","Germany","690","4.363768115942029","19365.611893583726"
"eredivisie","domestic_league","Netherlands","3244","3.0779901356350186","18683.893244662235"
"efl-cup","other","England","93","4.32258064516129","16715.74193548387"
"belgian-supercup","other","Belgium","10","2.8","15764.888888888889"
"uefa-champions-league-qualifikation","international_cup","Unknown","961","2.7148803329864726","15024.356103023516"
"fa-cup","domestic_cup","England","1618","3.1452410383189124","12842.348208248817"
"scottish-premiership","domestic_league","Scotland","2299","2.6737712048716835","12728.590623489608"
"copa-del-rey","domestic_cup","Spain","1194","3.4346733668341707","12560.558322411533"
"super-lig","domestic_league","Turkey","3516","2.7744596131968144","12018.6164"
"premier-liga","domestic_league","Russia","2584","2.487229102167183","11668.30035335689"
"jupiler-pro-league","domestic_league","Belgium","2819","2.8744235544519334","10895.638866719872"
"liga-portugal-bwin","domestic_league","Portugal","3102","2.5422308188265634","10889.988546603476"
"italy-cup","domestic_cup","Italy","796","3.7173366834170856","8924.95321637427"
"europa-league-qualifikation","international_cup","Unknown","2297","2.805833696125381","7584.939105613701"
"superligaen","domestic_league","Denmark","1915","2.7237597911227156","6771.147523135547"
"premier-liga","domestic_league","Ukraine","1905","2.5606299212598427","6567.031625553447"
"toto-knvb-beker","domestic_cup","Netherlands","917","4.420937840785169","5969.515449438202"
"uefa-europa-conference-league-qualifikation","international_cup","Unknown","556","2.9514388489208634","5924.600798403194"
"kypello-elladas","domestic_cup","Greece","977","2.94575230296827","5811.688172043011"
"sfa-cup","domestic_cup","Scotland","1010","3.6603960396039605","5079.598726114649"
"super-league-1","domestic_league","Greece","2539","2.336746750689248","4560.967111111111"
"russian-cup","domestic_cup","Russia","1163","3.9088564058469477","4189.929824561404"
"allianz-cup","domestic_cup","Portugal","549","3.0","4069.056644880174"
"ukrainian-cup","domestic_cup","Ukraine","484","3.7479338842975207","3658.8341013824884"
"sydbank-pokalen","domestic_cup","Denmark","877","4.328392246294185","2541.6916488222696"
